"sales_id","total_price","quantity","price_per_unit","order_date","product_name"
67,291,3,97,"2021-09-22","Slim-Fit"
68,210,2,105,"2021-09-22","Pleated"
69,288,3,96,"2021-07-07","Oxford Cloth"
70,282,3,94,"2021-07-07","Henley"
71,192,2,96,"2021-07-07","Oxford Cloth"
72,210,2,105,"2021-07-07","Cuban Collar"
73,96,1,96,"2021-07-07","Oxford Cloth"
74,96,1,96,"2021-07-07","Drawstring"
75,327,3,109,"2021-07-07","Mandarin Collar"
76,200,2,100,"2021-07-07","Bomber"
77,95,1,95,"2021-07-07","Polo"
78,184,2,92,"2021-02-09","Denim"
79,182,2,91,"2021-02-09","Pullover"
80,118,1,118,"2021-02-09","Puffer"
81,186,2,93,"2021-02-09","Joggers"
82,104,1,104,"2021-01-01","Dress"
83,291,3,97,"2021-01-01","Slim-Fit"
84,105,1,105,"2021-01-01","Cuban Collar"
85,345,3,115,"2021-01-01","Cropped"
86,107,1,107,"2021-01-01","Denim"
87,118,1,118,"2021-08-30","Flannel"
88,218,2,109,"2021-08-30","Mandarin Collar"
89,218,2,109,"2021-08-30","Mandarin Collar"
90,351,3,117,"2021-08-30","Shearling"
91,339,3,113,"2021-08-30","Parka"
92,224,2,112,"2021-01-13","Cardigan"
93,354,3,118,"2021-01-13","Flannel"
94,100,1,100,"2021-01-13","Bomber"
95,345,3,115,"2021-01-13","Cropped"
96,306,3,102,"2021-01-13","Windbreaker"
97,113,1,113,"2021-01-13","Parka"
98,115,1,115,"2021-01-13","Cropped"
99,96,1,96,"2021-04-04","Oxford Cloth"
100,210,2,105,"2021-04-04","Cuban Collar"
101,188,2,94,"2021-04-04","Cords"
102,96,1,96,"2021-05-28","Oxford Cloth"
103,180,2,90,"2021-05-28","Relaxed Leg"
104,92,1,92,"2021-05-28","Denim"
105,182,2,91,"2021-05-28","Linen"
106,327,3,109,"2021-05-28","Mandarin Collar"
107,96,1,96,"2021-05-28","Drawstring"
108,212,2,106,"2021-05-17","Chambray"
109,351,3,117,"2021-05-17","Shearling"
110,96,1,96,"2021-09-04","Oxford Cloth"
111,226,2,113,"2021-09-04","Chinos"
112,327,3,109,"2021-07-04","Peacoat"
113,200,2,100,"2021-07-04","Bomber"
114,234,2,117,"2021-04-25","Shearling"
115,273,3,91,"2021-04-25","Linen"
116,107,1,107,"2021-04-25","Denim"
117,210,2,105,"2021-05-16","Cuban Collar"
118,117,1,117,"2021-05-16","Shearling"
119,94,1,94,"2021-05-16","Henley"
120,107,1,107,"2021-05-16","Denim"
121,270,3,90,"2021-05-16","Relaxed Leg"
122,112,1,112,"2021-05-16","Cardigan"
123,226,2,113,"2021-05-16","Chinos"
124,192,2,96,"2021-08-19","Oxford Cloth"
125,212,2,106,"2021-08-19","Chambray"
126,99,1,99,"2021-08-19","High-Waisted"
127,119,1,119,"2021-08-19","Trench Coat"
128,192,2,96,"2021-08-19","Oxford Cloth"
129,218,2,109,"2021-08-19","Peacoat"
130,339,3,113,"2021-08-19","Parka"
131,192,2,96,"2021-08-19","Drawstring"
132,186,2,93,"2021-08-19","Joggers"
133,336,3,112,"2021-08-19","Tracksuit Bottoms"
134,182,2,91,"2021-08-19","Pullover"
135,93,1,93,"2021-03-22","Coach"
136,282,3,94,"2021-03-22","Cords"
137,190,2,95,"2021-03-22","Polo"
138,327,3,109,"2021-03-22","Peacoat"
139,238,2,119,"2021-07-07","Casual Slim Fit"
140,218,2,109,"2021-07-07","Mandarin Collar"
141,96,1,96,"2021-07-07","Oxford Cloth"
142,238,2,119,"2021-07-07","Casual Slim Fit"
143,99,1,99,"2021-07-07","High-Waisted"
144,354,3,118,"2021-07-07","Puffer"
145,236,2,118,"2021-03-11","Puffer"
146,93,1,93,"2021-03-11","Joggers"
147,112,1,112,"2021-03-11","Tracksuit Bottoms"
148,345,3,115,"2021-06-17","Cropped"
149,109,1,109,"2021-06-17","Mandarin Collar"
150,288,3,96,"2021-06-17","Oxford Cloth"
151,236,2,118,"2021-07-01","Puffer"
152,297,3,99,"2021-07-01","High-Waisted"
153,327,3,109,"2021-07-01","Mandarin Collar"
154,291,3,97,"2021-07-01","Slim-Fit"
155,204,2,102,"2021-07-01","Windbreaker"
156,234,2,117,"2021-05-23","Shearling"
157,98,1,98,"2021-05-23","Leather"
158,273,3,91,"2021-05-23","Pullover"
159,104,1,104,"2021-05-23","Dress"
160,212,2,106,"2021-08-31","Wool"
161,98,1,98,"2021-08-31","Leather"
162,224,2,112,"2021-08-31","Tracksuit Bottoms"
163,90,1,90,"2021-08-31","Relaxed Leg"
164,98,1,98,"2021-08-31","Leather"
165,105,1,105,"2021-08-31","Cuban Collar"
166,339,3,113,"2021-08-31","Parka"
167,113,1,113,"2021-08-22","Parka"
168,279,3,93,"2021-08-22","Coach"
169,208,2,104,"2021-08-22","Dress"
170,234,2,117,"2021-08-22","Shearling"
171,218,2,109,"2021-08-22","Peacoat"
172,98,1,98,"2021-08-22","Camp Collared"
173,351,3,117,"2021-07-07","Shearling"
174,318,3,106,"2021-07-07","Wool"
175,336,3,112,"2021-07-07","Cardigan"
176,224,2,112,"2021-07-07","Cardigan"
177,186,2,93,"2021-07-07","Coach"
178,180,2,90,"2021-02-03","Relaxed Leg"
179,102,1,102,"2021-02-03","Windbreaker"
180,184,2,92,"2021-02-03","Denim"
181,224,2,112,"2021-02-26","Cardigan"
182,218,2,109,"2021-02-26","Mandarin Collar"
183,273,3,91,"2021-02-26","Linen"
184,279,3,93,"2021-02-26","Coach"
185,96,1,96,"2021-02-26","Drawstring"
186,218,2,109,"2021-02-26","Mandarin Collar"
187,104,1,104,"2021-02-26","Dress"
188,180,2,90,"2021-02-26","Relaxed Leg"
189,282,3,94,"2021-02-26","Cords"
190,192,2,96,"2021-02-26","Oxford Cloth"
191,218,2,109,"2021-01-07","Mandarin Collar"
192,93,1,93,"2021-01-07","Coach"
193,354,3,118,"2021-01-07","Puffer"
194,339,3,113,"2021-01-07","Parka"
195,106,1,106,"2021-01-03","Wool"
196,119,1,119,"2021-01-03","Trench Coat"
197,300,3,100,"2021-01-03","Bomber"
198,113,1,113,"2021-07-29","Chinos"
199,194,2,97,"2021-07-29","Slim-Fit"
200,109,1,109,"2021-07-29","Mandarin Collar"
201,112,1,112,"2021-07-29","Tracksuit Bottoms"
202,204,2,102,"2021-07-13","Cargo Pants"
203,100,1,100,"2021-07-13","Bomber"
204,276,3,92,"2021-07-13","Denim"
205,188,2,94,"2021-09-07","Henley"
206,204,2,102,"2021-09-07","Cargo Pants"
207,112,1,112,"2021-09-07","Cardigan"
208,93,1,93,"2021-09-07","Joggers"
209,119,1,119,"2021-09-07","Trench Coat"
210,118,1,118,"2021-05-30","Puffer"
211,357,3,119,"2021-05-30","Trench Coat"
212,180,2,90,"2021-05-30","Relaxed Leg"
213,327,3,109,"2021-05-30","Mandarin Collar"
214,224,2,112,"2021-05-30","Tracksuit Bottoms"
215,112,1,112,"2021-05-30","Tracksuit Bottoms"
216,339,3,113,"2021-06-22","Parka"
217,102,1,102,"2021-06-22","Windbreaker"
218,327,3,109,"2021-06-22","Mandarin Collar"
219,186,2,93,"2021-04-21","Coach"
220,234,2,117,"2021-04-21","Shearling"
221,91,1,91,"2021-04-21","Pullover"
222,236,2,118,"2021-04-21","Flannel"
223,345,3,115,"2021-04-21","Cropped"
224,97,1,97,"2021-04-16","Slim-Fit"
225,339,3,113,"2021-04-16","Parka"
226,312,3,104,"2021-01-22","Dress"
227,180,2,90,"2021-01-22","Relaxed Leg"
228,91,1,91,"2021-01-22","Pullover"
229,354,3,118,"2021-09-16","Puffer"
230,109,1,109,"2021-09-16","Mandarin Collar"
231,345,3,115,"2021-09-16","Cropped"
232,186,2,93,"2021-09-16","Joggers"
233,270,3,90,"2021-09-16","Relaxed Leg"
234,107,1,107,"2021-09-16","Denim"
235,113,1,113,"2021-02-19","Parka"
236,291,3,97,"2021-02-19","Slim-Fit"
237,186,2,93,"2021-02-19","Joggers"
238,306,3,102,"2021-10-06","Windbreaker"
239,345,3,115,"2021-10-06","Cropped"
240,102,1,102,"2021-10-06","Cargo Pants"
241,192,2,96,"2021-10-06","Oxford Cloth"
242,351,3,117,"2021-04-22","Shearling"
243,104,1,104,"2021-04-22","Dress"
244,118,1,118,"2021-04-22","Flannel"
245,226,2,113,"2021-04-25","Chinos"
246,194,2,97,"2021-04-25","Slim-Fit"
247,95,1,95,"2021-04-25","Polo"
248,204,2,102,"2021-04-25","Windbreaker"
249,119,1,119,"2021-04-08","Trench Coat"
250,93,1,93,"2021-01-23","Joggers"
251,282,3,94,"2021-01-23","Cords"
252,118,1,118,"2021-01-23","Puffer"
253,336,3,112,"2021-01-23","Cardigan"
254,194,2,97,"2021-01-23","Slim-Fit"
255,186,2,93,"2021-02-27","Joggers"
256,306,3,102,"2021-02-27","Cargo Pants"
257,117,1,117,"2021-02-27","Shearling"
258,279,3,93,"2021-02-02","Joggers"
259,188,2,94,"2021-02-02","Cords"
260,96,1,96,"2021-01-31","Drawstring"
261,226,2,113,"2021-01-31","Parka"
262,91,1,91,"2021-01-31","Pullover"
263,186,2,93,"2021-02-05","Joggers"
264,96,1,96,"2021-02-05","Drawstring"
265,100,1,100,"2021-02-05","Bomber"
266,294,3,98,"2021-02-05","Camp Collared"
267,96,1,96,"2021-02-05","Drawstring"
268,321,3,107,"2021-02-05","Denim"
269,99,1,99,"2021-04-16","High-Waisted"
270,106,1,106,"2021-04-16","Chambray"
271,99,1,99,"2021-04-16","High-Waisted"
272,357,3,119,"2021-04-16","Trench Coat"
273,218,2,109,"2021-04-16","Mandarin Collar"
274,180,2,90,"2021-07-30","Relaxed Leg"
275,210,2,105,"2021-07-30","Pleated"
276,327,3,109,"2021-02-11","Mandarin Collar"
277,194,2,97,"2021-02-11","Slim-Fit"
278,188,2,94,"2021-02-11","Henley"
279,98,1,98,"2021-02-11","Camp Collared"
280,182,2,91,"2021-01-24","Pullover"
281,224,2,112,"2021-01-24","Cardigan"
282,106,1,106,"2021-01-24","Wool"
283,226,2,113,"2021-01-24","Parka"
284,297,3,99,"2021-06-26","High-Waisted"
285,327,3,109,"2021-06-26","Peacoat"
286,291,3,97,"2021-08-14","Slim-Fit"
287,113,1,113,"2021-08-14","Chinos"
288,351,3,117,"2021-08-14","Shearling"
289,236,2,118,"2021-08-14","Puffer"
290,184,2,92,"2021-08-14","Denim"
291,119,1,119,"2021-08-14","Trench Coat"
292,188,2,94,"2021-08-14","Cords"
293,226,2,113,"2021-08-14","Parka"
294,273,3,91,"2021-08-14","Linen"
295,96,1,96,"2021-08-14","Drawstring"
296,180,2,90,"2021-05-22","Relaxed Leg"
297,182,2,91,"2021-05-22","Pullover"
298,214,2,107,"2021-05-22","Denim"
299,104,1,104,"2021-02-12","Dress"
300,214,2,107,"2021-02-12","Denim"
301,90,1,90,"2021-02-12","Relaxed Leg"
302,118,1,118,"2021-02-12","Flannel"
303,118,1,118,"2021-03-08","Flannel"
304,294,3,98,"2021-03-08","Camp Collared"
305,93,1,93,"2021-03-08","Joggers"
306,210,2,105,"2021-03-08","Pleated"
307,234,2,117,"2021-03-08","Shearling"
308,336,3,112,"2021-03-08","Cardigan"
309,100,1,100,"2021-05-15","Bomber"
310,115,1,115,"2021-02-14","Cropped"
311,212,2,106,"2021-02-14","Chambray"
312,180,2,90,"2021-03-13","Relaxed Leg"
313,196,2,98,"2021-03-13","Leather"
314,236,2,118,"2021-03-13","Flannel"
315,224,2,112,"2021-03-13","Cardigan"
316,354,3,118,"2021-07-24","Puffer"
317,102,1,102,"2021-07-24","Cargo Pants"
318,106,1,106,"2021-07-24","Wool"
319,297,3,99,"2021-07-24","High-Waisted"
320,236,2,118,"2021-07-24","Flannel"
321,204,2,102,"2021-02-23","Windbreaker"
322,210,2,105,"2021-02-23","Cuban Collar"
323,236,2,118,"2021-02-23","Flannel"
324,200,2,100,"2021-08-24","Bomber"
325,357,3,119,"2021-08-24","Casual Slim Fit"
326,336,3,112,"2021-08-24","Cardigan"
327,107,1,107,"2021-06-18","Denim"
328,186,2,93,"2021-06-18","Joggers"
329,106,1,106,"2021-06-18","Chambray"
330,99,1,99,"2021-06-18","High-Waisted"
331,102,1,102,"2021-06-18","Cargo Pants"
332,279,3,93,"2021-06-18","Joggers"
333,226,2,113,"2021-06-18","Chinos"
334,354,3,118,"2021-04-19","Flannel"
335,113,1,113,"2021-04-19","Parka"
336,357,3,119,"2021-04-19","Casual Slim Fit"
337,112,1,112,"2021-04-19","Cardigan"
338,294,3,98,"2021-04-19","Leather"
339,198,2,99,"2021-04-19","High-Waisted"
340,94,1,94,"2021-04-19","Henley"
341,105,1,105,"2021-04-19","Pleated"
342,282,3,94,"2021-04-19","Cords"
343,273,3,91,"2021-04-19","Pullover"
344,351,3,117,"2021-04-19","Shearling"
345,200,2,100,"2021-04-19","Bomber"
346,357,3,119,"2021-05-13","Trench Coat"
347,230,2,115,"2021-05-13","Cropped"
348,212,2,106,"2021-05-13","Wool"
349,236,2,118,"2021-03-16","Puffer"
350,102,1,102,"2021-03-16","Windbreaker"
351,336,3,112,"2021-03-16","Tracksuit Bottoms"
352,97,1,97,"2021-03-16","Slim-Fit"
353,192,2,96,"2021-04-26","Oxford Cloth"
354,194,2,97,"2021-04-26","Slim-Fit"
355,312,3,104,"2021-06-13","Dress"
356,212,2,106,"2021-06-13","Wool"
357,99,1,99,"2021-06-13","High-Waisted"
358,91,1,91,"2021-06-13","Linen"
359,273,3,91,"2021-06-13","Linen"
360,112,1,112,"2021-06-13","Cardigan"
361,224,2,112,"2021-02-02","Cardigan"
362,294,3,98,"2021-02-02","Leather"
363,109,1,109,"2021-02-02","Peacoat"
364,270,3,90,"2021-02-02","Relaxed Leg"
365,226,2,113,"2021-02-02","Parka"
366,318,3,106,"2021-02-02","Chambray"
367,100,1,100,"2021-06-25","Bomber"
368,118,1,118,"2021-06-25","Flannel"
369,190,2,95,"2021-06-25","Polo"
370,93,1,93,"2021-08-26","Joggers"
371,282,3,94,"2021-08-26","Henley"
372,196,2,98,"2021-08-26","Camp Collared"
373,107,1,107,"2021-03-10","Denim"
374,94,1,94,"2021-03-10","Henley"
375,336,3,112,"2021-03-10","Cardigan"
376,200,2,100,"2021-08-05","Bomber"
377,354,3,118,"2021-06-20","Flannel"
378,95,1,95,"2021-06-20","Polo"
379,190,2,95,"2021-06-20","Polo"
380,182,2,91,"2021-06-20","Linen"
381,92,1,92,"2021-07-19","Denim"
382,339,3,113,"2021-07-19","Chinos"
383,119,1,119,"2021-07-19","Casual Slim Fit"
384,236,2,118,"2021-07-19","Flannel"
385,182,2,91,"2021-07-19","Pullover"
386,192,2,96,"2021-07-19","Drawstring"
387,210,2,105,"2021-07-19","Pleated"
388,95,1,95,"2021-10-22","Polo"
389,234,2,117,"2021-10-22","Shearling"
390,98,1,98,"2021-10-22","Leather"
391,306,3,102,"2021-10-22","Windbreaker"
392,98,1,98,"2021-10-22","Leather"
393,276,3,92,"2021-06-13","Denim"
394,192,2,96,"2021-06-13","Oxford Cloth"
395,218,2,109,"2021-06-13","Peacoat"
396,306,3,102,"2021-06-13","Cargo Pants"
397,312,3,104,"2021-06-13","Dress"
398,93,1,93,"2021-06-13","Coach"
399,102,1,102,"2021-09-02","Cargo Pants"
400,94,1,94,"2021-09-02","Henley"
401,318,3,106,"2021-09-02","Chambray"
402,306,3,102,"2021-09-02","Windbreaker"
403,270,3,90,"2021-09-02","Relaxed Leg"
404,321,3,107,"2021-01-12","Denim"
405,318,3,106,"2021-01-12","Wool"
406,212,2,106,"2021-01-12","Chambray"
407,318,3,106,"2021-01-12","Wool"
408,336,3,112,"2021-10-22","Tracksuit Bottoms"
409,336,3,112,"2021-10-22","Tracksuit Bottoms"
410,188,2,94,"2021-03-08","Cords"
411,279,3,93,"2021-03-08","Joggers"
412,212,2,106,"2021-03-08","Chambray"
413,354,3,118,"2021-03-08","Puffer"
414,192,2,96,"2021-03-08","Drawstring"
415,297,3,99,"2021-01-25","High-Waisted"
416,107,1,107,"2021-01-25","Denim"
417,204,2,102,"2021-01-25","Windbreaker"
418,198,2,99,"2021-01-25","High-Waisted"
419,357,3,119,"2021-01-25","Casual Slim Fit"
420,214,2,107,"2021-01-25","Denim"
421,115,1,115,"2021-01-25","Cropped"
422,218,2,109,"2021-01-25","Peacoat"
423,180,2,90,"2021-06-20","Relaxed Leg"
424,102,1,102,"2021-06-20","Cargo Pants"
425,218,2,109,"2021-06-20","Mandarin Collar"
426,119,1,119,"2021-06-20","Casual Slim Fit"
427,210,2,105,"2021-06-20","Pleated"
428,96,1,96,"2021-06-20","Drawstring"
429,92,1,92,"2021-03-29","Denim"
430,98,1,98,"2021-03-29","Leather"
431,339,3,113,"2021-03-29","Chinos"
432,99,1,99,"2021-03-29","High-Waisted"
433,315,3,105,"2021-03-29","Cuban Collar"
434,315,3,105,"2021-03-29","Pleated"
435,98,1,98,"2021-03-29","Leather"
436,118,1,118,"2021-03-29","Puffer"
437,180,2,90,"2021-04-29","Relaxed Leg"
438,214,2,107,"2021-04-29","Denim"
439,96,1,96,"2021-04-29","Drawstring"
440,115,1,115,"2021-04-29","Cropped"
441,318,3,106,"2021-04-29","Wool"
442,93,1,93,"2021-04-29","Coach"
443,224,2,112,"2021-09-13","Tracksuit Bottoms"
444,273,3,91,"2021-09-13","Linen"
445,96,1,96,"2021-09-13","Oxford Cloth"
446,236,2,118,"2021-09-13","Puffer"
447,188,2,94,"2021-09-13","Henley"
448,236,2,118,"2021-03-30","Puffer"
449,186,2,93,"2021-03-30","Joggers"
450,236,2,118,"2021-03-30","Puffer"
451,276,3,92,"2021-03-30","Denim"
452,118,1,118,"2021-03-30","Puffer"
453,188,2,94,"2021-03-30","Henley"
454,357,3,119,"2021-03-30","Casual Slim Fit"
455,112,1,112,"2021-03-30","Tracksuit Bottoms"
456,279,3,93,"2021-01-31","Coach"
457,105,1,105,"2021-01-31","Pleated"
458,115,1,115,"2021-01-31","Cropped"
459,354,3,118,"2021-01-31","Puffer"
460,345,3,115,"2021-01-31","Cropped"
461,327,3,109,"2021-05-07","Mandarin Collar"
462,91,1,91,"2021-06-16","Pullover"
463,327,3,109,"2021-06-16","Peacoat"
464,91,1,91,"2021-06-16","Linen"
465,279,3,93,"2021-06-16","Coach"
466,327,3,109,"2021-06-16","Peacoat"
467,196,2,98,"2021-06-16","Leather"
468,192,2,96,"2021-06-16","Oxford Cloth"
469,354,3,118,"2021-06-16","Flannel"
470,99,1,99,"2021-06-05","High-Waisted"
471,312,3,104,"2021-06-05","Dress"
472,93,1,93,"2021-06-05","Joggers"
473,288,3,96,"2021-06-05","Drawstring"
474,119,1,119,"2021-06-05","Casual Slim Fit"
475,230,2,115,"2021-06-05","Cropped"
476,190,2,95,"2021-06-25","Polo"
477,96,1,96,"2021-06-25","Drawstring"
478,186,2,93,"2021-03-09","Coach"
479,279,3,93,"2021-03-09","Joggers"
480,345,3,115,"2021-03-09","Cropped"
481,208,2,104,"2021-01-11","Dress"
482,119,1,119,"2021-01-11","Casual Slim Fit"
483,218,2,109,"2021-01-11","Mandarin Collar"
484,294,3,98,"2021-01-11","Camp Collared"
485,94,1,94,"2021-01-11","Cords"
486,212,2,106,"2021-01-11","Chambray"
487,357,3,119,"2021-03-07","Trench Coat"
488,273,3,91,"2021-03-07","Linen"
489,315,3,105,"2021-03-07","Pleated"
490,102,1,102,"2021-03-07","Windbreaker"
491,315,3,105,"2021-03-07","Pleated"
492,226,2,113,"2021-03-07","Parka"
493,196,2,98,"2021-03-07","Leather"
494,357,3,119,"2021-03-07","Casual Slim Fit"
495,285,3,95,"2021-04-06","Polo"
496,230,2,115,"2021-04-06","Cropped"
497,93,1,93,"2021-04-06","Joggers"
498,100,1,100,"2021-04-06","Bomber"
499,226,2,113,"2021-09-02","Parka"
500,117,1,117,"2021-09-02","Shearling"
501,94,1,94,"2021-09-02","Cords"
502,102,1,102,"2021-09-02","Cargo Pants"
503,279,3,93,"2021-09-02","Coach"
504,105,1,105,"2021-03-30","Cuban Collar"
505,98,1,98,"2021-03-30","Camp Collared"
506,186,2,93,"2021-03-30","Joggers"
507,270,3,90,"2021-03-30","Relaxed Leg"
508,279,3,93,"2021-03-30","Coach"
509,115,1,115,"2021-03-30","Cropped"
510,238,2,119,"2021-02-04","Casual Slim Fit"
511,99,1,99,"2021-02-04","High-Waisted"
512,282,3,94,"2021-02-04","Cords"
513,218,2,109,"2021-02-04","Peacoat"
514,95,1,95,"2021-02-04","Polo"
515,112,1,112,"2021-02-04","Tracksuit Bottoms"
516,327,3,109,"2021-03-19","Peacoat"
517,336,3,112,"2021-03-19","Tracksuit Bottoms"
518,182,2,91,"2021-03-19","Linen"
519,291,3,97,"2021-03-19","Slim-Fit"
520,273,3,91,"2021-03-19","Linen"
521,300,3,100,"2021-03-19","Bomber"
522,180,2,90,"2021-03-19","Relaxed Leg"
523,236,2,118,"2021-03-19","Flannel"
524,98,1,98,"2021-03-19","Leather"
525,93,1,93,"2021-03-19","Coach"
526,192,2,96,"2021-08-08","Drawstring"
527,190,2,95,"2021-08-08","Polo"
528,318,3,106,"2021-08-08","Wool"
529,109,1,109,"2021-08-08","Peacoat"
530,318,3,106,"2021-08-08","Wool"
531,194,2,97,"2021-08-08","Slim-Fit"
532,91,1,91,"2021-08-08","Linen"
533,285,3,95,"2021-04-11","Polo"
534,105,1,105,"2021-04-11","Pleated"
535,98,1,98,"2021-04-11","Leather"
536,106,1,106,"2021-04-11","Wool"
537,94,1,94,"2021-04-25","Henley"
538,224,2,112,"2021-04-25","Cardigan"
539,238,2,119,"2021-01-08","Casual Slim Fit"
540,109,1,109,"2021-01-08","Peacoat"
541,282,3,94,"2021-01-08","Cords"
542,98,1,98,"2021-01-08","Leather"
543,354,3,118,"2021-01-08","Puffer"
544,102,1,102,"2021-01-08","Windbreaker"
545,94,1,94,"2021-02-20","Henley"
546,118,1,118,"2021-02-20","Flannel"
547,92,1,92,"2021-02-20","Denim"
548,224,2,112,"2021-02-20","Cardigan"
549,196,2,98,"2021-04-29","Leather"
550,96,1,96,"2021-04-29","Drawstring"
551,104,1,104,"2021-04-29","Dress"
552,104,1,104,"2021-04-29","Dress"
553,112,1,112,"2021-06-09","Tracksuit Bottoms"
554,218,2,109,"2021-06-09","Mandarin Collar"
555,188,2,94,"2021-06-09","Cords"
556,100,1,100,"2021-06-09","Bomber"
557,192,2,96,"2021-06-09","Oxford Cloth"
558,357,3,119,"2021-06-09","Casual Slim Fit"
559,192,2,96,"2021-04-21","Drawstring"
560,104,1,104,"2021-04-21","Dress"
561,200,2,100,"2021-04-21","Bomber"
562,105,1,105,"2021-04-21","Pleated"
563,208,2,104,"2021-04-21","Dress"
564,190,2,95,"2021-04-21","Polo"
565,315,3,105,"2021-04-21","Pleated"
566,102,1,102,"2021-04-21","Cargo Pants"
567,270,3,90,"2021-04-13","Relaxed Leg"
568,112,1,112,"2021-04-13","Cardigan"
569,95,1,95,"2021-04-13","Polo"
570,238,2,119,"2021-04-13","Trench Coat"
571,112,1,112,"2021-03-04","Cardigan"
572,238,2,119,"2021-03-04","Trench Coat"
573,357,3,119,"2021-03-04","Trench Coat"
574,196,2,98,"2021-03-04","Leather"
575,194,2,97,"2021-03-04","Slim-Fit"
576,186,2,93,"2021-03-04","Joggers"
577,184,2,92,"2021-03-04","Denim"
578,118,1,118,"2021-03-04","Flannel"
579,282,3,94,"2021-03-04","Henley"
580,188,2,94,"2021-07-06","Henley"
581,100,1,100,"2021-07-06","Bomber"
582,93,1,93,"2021-07-06","Coach"
583,200,2,100,"2021-07-06","Bomber"
584,288,3,96,"2021-07-06","Oxford Cloth"
585,294,3,98,"2021-07-06","Camp Collared"
586,210,2,105,"2021-07-06","Pleated"
587,276,3,92,"2021-07-06","Denim"
588,279,3,93,"2021-07-06","Joggers"
589,93,1,93,"2021-07-06","Coach"
590,100,1,100,"2021-10-22","Bomber"
591,105,1,105,"2021-10-22","Pleated"
592,113,1,113,"2021-01-31","Parka"
593,210,2,105,"2021-01-31","Cuban Collar"
594,214,2,107,"2021-01-31","Denim"
595,192,2,96,"2021-01-31","Oxford Cloth"
596,224,2,112,"2021-01-31","Cardigan"
597,315,3,105,"2021-01-31","Cuban Collar"
598,282,3,94,"2021-04-01","Henley"
599,294,3,98,"2021-04-01","Leather"
600,102,1,102,"2021-04-01","Cargo Pants"
601,96,1,96,"2021-04-01","Oxford Cloth"
602,98,1,98,"2021-04-01","Leather"
603,236,2,118,"2021-04-01","Puffer"
604,218,2,109,"2021-04-01","Mandarin Collar"
605,92,1,92,"2021-04-01","Denim"
606,339,3,113,"2021-10-13","Parka"
607,318,3,106,"2021-10-13","Chambray"
608,212,2,106,"2021-10-13","Wool"
